Date,TL Based ISE,USD Based ISE,SP,DAX,FTSE,NIKKEI,BOVESPA,EU,EM
20090105,0.035753708,,-0.004679315,0.002193419,0.003894376,0,0.031190229,,0.028524462
20090106,0.025425873,0.031812743,0.007786738,,0.012865611,0.004162452,0.01891958,,0.008772644
20090107,-0.02886173,-0.026352966,,-0.017833062,-0.028734593,0.017292932,-0.035898576,-0.017072795,-0.020015412
20090108,-0.062208079,0.003391364,-0.011726277,-0.000465999,-0.040061309,0.028283152,-0.005560959,-0.019423778
20090109,0.009859905,0.009658112,-0.021533208,-0.019872754,-0.012709717,-0.004473502,-0.00976388,-0.010988634,-0.007802212
20090112,-0.029191028,-0.042361155,-0.022822626,,-0.005025533,-0.049038532,-0.053849474,-0.012451259,-0.022629745
20090113,0.015445348,-0.000272183,0.001756552,-0.006141454,0,0.00357202,-0.012220196,-0.004827138
20090114,-0.041167612,-0.03555248,-0.034032484,-0.047383437,-0.050945198,0.002912354,-0.040301613,-0.045220199,-0.008676646
20090115,0.000661905,-0.017267844,0.001328305,-0.019550621,-0.014334659,,0.030313602,-0.023428729
20090116,0.022037345
